Index,Area
1,350.1952734643594
2,2409.1924085786545
4,2271.758074175326
6,854.6107542362707
7,327.1146982210523
9,369.2892038929134
14,374.32496576418043
15,2889.268373639442
17,534.6300519995133
18,2330.5086293401077
21,390.6911918457982
22,294.3822460578168
27,229.12716514264855
30,1871.6248288209022
32,460.7722112209306
33,1484.920281789857
35,463.2900921565641
36,3275.133627025276
37,254.93544473289194
39,344.7398647704868
40,3530.2788951694706
41,597.1574285677452
42,1814.34303753524
43,1175.2209267069366
45,819.98989137131
47,1941.0763779621263
49,376.63302328851114
50,2169.154426048261
54,165.97031834050824
55,733.332822503257
59,1977.3758281175092
60,2675.6681409332
62,2851.919806427545
65,740.2569950762492
66,2138.520207998053
68,339.494279487917
71,2925.3580003835223
72,538.1970499916607
73,847.0571114293701
74,541.7640479838083
75,1928.9066201065643
77,2419.4737557324916
78,177.09095913955622
79,1572.416644303121
83,1338.883187523114
85,1731.4627900706373
86,915.8791903366858
89,1994.581347844338
92,715.288009131217
93,232.27451631219043
94,559.3892145332427
95,3176.7264471242665
96,978.4065669049178
97,1052.4742310948034
98,1881.2767057408305
99,648.5641643369293
101,535.6791690560273
102,1641.2387232104368
103,3612.3198489888623
104,1783.079349251124
105,1824.414561277774
106,2491.0235389867435
107,2139.77914846587
109,2537.814159707266
110,694.7253148235434
111,343.27110089136727
114,277.1767263309879
116,341.5925136009449
117,737.9489375519184
118,3814.3797940734507
119,1875.4016502243524
120,1039.6750030053329
121,894.8968492064067
122,299.6278313403866
125,1544.5101305998498
126,2206.9226400827633
133,837.8248813320473
136,839.5034686224697
138,1085.4165066693415
139,168.06855245353617
140,2556.9080901358197
141,1140.6000638419757
142,1634.5243740487476
144,531.4827008299715
146,1082.2691554997998
148,373.0660252963637
149,202.8992387297996
156,3404.8044952104015
159,249.06038921641377
161,2074.314244139399
164,756.4133977465642
166,3266.3210437505586
168,330.89151962450256
173,1346.85647715262
175,1888.830348547731
177,1654.4575981225128
179,155.26932436406588
180,291.6545417108805
181,916.9283073931998
182,1009.6702551890338
183,2252.664143746772
185,660.5240987811884
186,3157.212869873107
189,656.5374539664354
192,1637.6717252182893
195,498.54042525543315
201,458.04450687399435
203,530.6434071847602
205,1321.8874912075878
206,276.7570795083823
209,1252.226118655061
211,271.93114104841806
215,778.65467934466
218,13083.119164962973
224,4998.623127466407
230,1798.8161050988335
231,823.137242540852
232,558.7597442993343
235,2779.9503763506877
240,564.4249764045097
248,761.4491596178311
253,314.315470131582
255,975.0493923240731
257,1848.9639004002006
258,1245.301946082069
259,2199.7886440984685
260,3785.633986724968
264,750.7481656413888
265,265.21679188672874
269,710.25224725995
275,2055.220313710845
279,591.9118432851755
282,422.79417377512533
284,1444.634186819721
285,1008.2014913099142
290,3373.3309835149826
292,702.0691342191411
295,450.9105108896994
298,544.072105508139
299,330.68169621319976
300,849.7848157763065
302,1047.2286458122335
303,1251.8064718324554
305,2030.04150435451
308,726.8282967528705
312,907.0666070619686
318,640.8006981187259
320,365.0927356668576
321,1231.2437775247818
322,1048.0679394574447
328,657.1669242003437
334,2571.3859055157127
335,6822.827865332879
344,1686.7704034631427
349,3672.119521210158
350,403.0707731126629
351,348.30686276263424
356,682.7653803792842
358,672.4840332254474
361,600.9342499711955
366,4492.109412581468
367,640.3810512961203
368,2349.8123831799644
369,1523.317966058268
371,256.4042086120115
373,626.1130593275306
375,2205.244052792341
378,1808.258158607459
379,248.850565805111
380,786.837792385469
382,1615.4304436201935
385,1333.847425651847
390,1548.7065988259058
391,233.95310360261277
397,1539.0547219059772
398,312.42705942985685
407,2536.974866062055
408,2449.058856726185
414,813.9050124435291
416,552.8846887828562
419,1886.1026442007949
423,805.5120759914174
427,534.2104051769078
430,2777.432495415054
437,279.69460726662135
443,323.54770022890483
446,758.5116318595921
447,754.3151636335363
451,2230.8425089712814
464,2699.1683629991126
469,3535.7343038633435
470,424.26293765424487
472,1394.0667446957482
478,215.2788199966643
484,1923.4512114126917
488,377.89196375632787
492,452.58909818012177
494,1022.4694832785041
498,267.52484941105945
499,1573.675584770938
500,1404.1382684382822
503,1444.0047165858127
508,1410.6427941886689
509,1307.4096758276953
510,735.0114097936794
514,262.2792641284897
517,1875.4016502243524
522,437.27198915501793
534,671.4349161689336
535,2014.934218740709
538,271.3016708145097
540,977.7770966710094
542,459.7230941644167
545,706.0557790338942
546,1170.3949882469722
555,270.6722005806013
556,1175.8503969408448
557,2051.233668896092
560,457.83468346269154
564,295.85100993693635
568,3279.330095251332
570,937.910648523479
571,4355.094725000745
575,1078.072687273744
578,577.22420449398
579,9268.52954747822
580,1487.2283393141877
582,393.2090727814317
591,1722.0207365620117
592,2570.1269650478957
593,1261.8779955749894
604,975.6788625579815
607,330.47187280189695
612,459.7230941644167
613,1014.496193648998
618,241.0870995869077
623,554.5632760732785
624,1924.290505057903
626,879.5797401813029
631,517.2147088613816
634,1099.2648518153258
639,387.9634874988619
640,219.89493504532572
641,441.4684573810738
