GW_filename,detected,GRB_filename,KN_coords
882,False,,
3101,False,,
3564,False,,
5952,False,,
7728,False,,
8424,False,,
8953,False,,
10330,False,,
10500,False,,
11976,False,,
13236,True,GBM_nsbh_13236,"(2.6452889, -0.60552619)"
13314,False,,
13757,False,,
15150,False,,
15438,False,,
16073,False,,
19645,False,,
19773,False,,
19981,False,,
22282,True,GBM_nsbh_22282,"(4.6854601, -0.17065907)"
23181,False,,
23679,False,,
25036,False,,
25298,False,,
26706,False,,
31120,False,,
31645,False,,
32879,False,,
34432,False,,
35017,False,,
35108,False,,
40126,False,,
44550,True,GBM_nsbh_44550,"(3.8239993, -0.21526987)"
46507,False,,
51839,False,,
53315,False,,
53558,False,,
56009,True,GBM_nsbh_56009,"(3.7555331, 0.67715283)"
56503,False,,
58151,False,,
59699,False,,
60909,False,,
62436,False,,
62820,False,,
63155,False,,
66125,False,,
67067,False,,
67138,False,,
70335,False,,
70347,False,,
70565,False,,
75016,False,,
76354,False,,
78258,False,,
79420,False,,
80353,False,,
80444,False,,
81141,False,,
83955,False,,
86221,True,GBM_nsbh_86221,"(5.6376795, -0.30210249)"
86954,False,,
89137,True,GBM_nsbh_89137,"(3.9636899, 0.96447901)"
89353,False,,
89455,False,,
90468,False,,
92169,False,,
93444,False,,
95118,False,,
99532,False,,
100614,False,,
101771,False,,
102050,True,GBM_nsbh_102050,"(3.3565087, 1.1523095)"
102431,True,GBM_nsbh_102431,"(2.1262145, -0.66414324)"
105714,False,,
108676,True,GBM_nsbh_108676,"(2.3301391, 0.95585618)"
115449,False,,
115733,False,,
116429,False,,
117096,False,,
117944,False,,
119123,False,,
120133,False,,
121922,False,,
123367,False,,
124084,False,,
126232,False,,
129787,False,,
135155,False,,
136871,False,,
138760,False,,
139800,False,,
140149,False,,
